9.3417e+10,5.8079e+10,3e+30
3.5898e+10,-1.145e+11,3e+30
1.2175e+11,-4.5563e+10,3e+30
-5.6636e+10,-1.2803e+11,3e+30
1.0124e+11,1.1068e+11,3e+30
-2.7286e+10,-1.5766e+11,3e+30
1.3075e+11,1.0865e+11,3e+30
1.3314e+11,1.2114e+11,3e+30
-1.2045e+11,-1.4694e+11,3e+30
-9.5042e+10,1.7597e+11,3e+30
-1.1933e+11,-1.728e+11,3e+30
-1.2006e+09,-2.2e+11,3e+30
-1.9929e+11,-1.1482e+11,3e+30
-1.5021e+10,-2.3953e+11,3e+30
2.3798e+10,2.4886e+11,3e+30
-2.4537e+10,-2.5884e+11,3e+30
2.6541e+11,-4.9595e+10,3e+30
1.877e+11,-2.0777e+11,3e+30
2.4846e+11,1.4955e+11,3e+30
-2.0042e+11,2.2323e+11,3e+30
-2.1107e+11,2.2705e+11,3e+30
-1.2703e+11,-2.937e+11,3e+30
-2.6946e+11,-1.905e+11,3e+30
1.8116e+11,-7.1748e+11,1e+30
-5.0529e+11,5.5424e+11,1e+30
2.0732e+11,7.3118e+11,1e+30
6.5863e+11,3.9888e+11,1e+30
1.7585e+11,-1.2679e+12,3e+30
3.5465e+11,1.2403e+12,3e+30
-9.9261e+11,8.3948e+11,3e+30
-1.2413e+12,-4.1871e+11,3e+30
1.7405e+11,1.3085e+12,3e+30
-8.3522e+11,-1.035e+12,3e+30
-1.3336e+12,1.3046e+11,3e+30
7.8079e+11,1.1013e+12,3e+30
2.7104e+11,-1.3327e+12,3e+30
1.1053e+12,8.0948e+11,3e+30
-3.7723e+11,1.3274e+12,3e+30
1.1016e+11,1.3856e+12,3e+30
-1.3737e+12,-2.6987e+11,3e+30
1.1833e+12,7.6669e+11,3e+30
-1.176e+12,7.9583e+11,3e+30
1.1308e+12,8.7537e+11,3e+30
1.0963e+12,9.3372e+11,3e+30
3.1122e+11,-1.4162e+12,3e+30
-3.7702e+11,1.4105e+12,3e+30
-1.1698e+12,-8.9023e+11,3e+30
1.4432e+12,-3.2809e+11,3e+30
-1.3579e+12,6.1328e+11,3e+30
-5.103e+11,-1.4105e+12,3e+30
